episode,learning_rate_0.1,learning_rate_0.01,learning_rate_0.001
304,35328.91,33081.91354,31676.91354
305,35950.91,33339.91354,29951.91354
306,33979.91,33137.91354,31715.91354
307,34076.91,35378.91354,29899.91354
308,34754.91,35749.91354,31659.91354
309,35028.91,33819.91354,30864.91354
310,35617.91,33624.91354,33327.91354
311,33407.91,33185.91354,31103.91354
312,34886.91,30613.91354,31801.91354
313,32752.91,34173.91354,33200.91354
314,33515.91,36759.91354,29801.91354
315,33305.91,34085.91354,30815.91354
316,35428.91,34867.91354,32808.91354
317,31632.91,32995.91354,31715.91354
318,34097.91,35001.91354,34120.91354
319,34062.91,35541.91354,31138.91354
320,33715.91,34476.91354,29904.91354
321,32849.91,35245.91354,29848.91354
322,33720.91,34568.91354,31824.91354
323,35398.91,33097.91354,30663.91354
324,34451.91,32917.91354,29975.91354
325,31839.91,32853.91354,30946.91354
326,34570.91,32977.91354,31780.91354
327,34168.91,33702.91354,29933.91354
328,35672.91,32760.91354,31842.91354
329,34457.91,34036.91354,32123.91354
330,35952.91,33979.91354,31241.91354
331,33140.91,33029.91354,30563.91354
332,33092.91,34731.91354,31723.91354
333,36539.91,34659.91354,30316.91354
334,34663.91,35436.91354,31021.91354
335,34460.91,32723.91354,27856.91354
336,32186.91,35796.91354,31125.91354
337,34933.91,30347.91354,30057.91354
338,34033.91,33747.91354,32278.91354
339,31977.91,33846.91354,30357.91354
340,35358.91,33722.91354,31123.91354
341,33251.91,34719.91354,32774.91354
342,29978.91,36505.91354,31709.91354
343,35183.91,34234.91354,31081.91354
344,37290.91,34596.91354,33038.91354
345,33425.91,32929.91354,30921.91354
346,32737.91,36196.91354,30381.91354
347,34539.91,35101.91354,32790.91354
348,35211.91,35819.91354,30737.91354
349,32807.91,31871.91354,33356.91354
350,34989.91,34861.91354,31449.91354
351,29385.91,32947.91354,31409.91354
352,33685.91,32178.91354,33067.91354
353,32948.91,32379.91354,30334.91354
354,33543.91,32394.91354,31414.91354
355,35196.91,33254.91354,33064.91354
356,33685.91,34342.91354,33049.91354
357,34695.91,34129.91354,31760.91354
358,33142.91,34935.91354,33850.91354
359,32551.91,34484.91354,31797.91354
360,34618.91,33005.91354,33232.91354
361,35209.91,34771.91354,28516.91354
362,33828.91,35104.91354,32245.91354
363,34456.91,34366.91354,30842.91354
364,35096.91,33094.91354,31328.91354
365,32780.91,35573.91354,32150.91354
366,35801.91,31907.91354,32013.91354
367,34200.91,35283.91354,29719.91354
368,30520.91,35475.91354,30838.91354
369,32455.91,32958.91354,30829.91354
370,33795.91,32667.91354,32963.91354
371,36349.91,33620.91354,33037.91354
372,35393.91,31173.91354,31410.91354
373,32739.91,32981.91354,33636.91354
374,34687.91,36432.91354,31325.91354
375,34459.91,35136.91354,32312.91354
376,34753.91,34579.91354,32806.91354
377,32612.91,35842.91354,29857.91354
378,33800.91,34010.91354,30052.91354
379,35877.91,33986.91354,30334.91354
380,33979.91,30322.91354,31651.91354
381,34795.91,35824.91354,30481.91354
382,36734.91,31512.91354,32395.91354
383,35417.91,33678.91354,32256.91354
384,35861.91,34052.91354,31876.91354
385,32848.91,34421.91354,33286.91354
386,35496.91,36629.91354,31446.91354
387,34427.91,34690.91354,31284.91354
388,32941.91,32947.91354,32968.91354
389,33716.91,34769.91354,31089.91354
390,31905.91,33479.91354,30243.91354
391,35564.91,34496.91354,33394.91354
392,35061.91,32764.91354,31981.91354
393,36656.91,33666.91354,30053.91354
394,33101.91,31939.91354,31107.91354
395,35149.91,35770.91354,30695.91354
396,36091.91,32729.91354,32722.91354
397,30961.91,35681.91354,31562.91354
398,31300.91,32581.91354,31911.91354
399,32181.91,32988.91354,30954.91354
400,36241.91,36472.91354,32585.91354
401,34385.91,32945.91354,31151.91354
402,35933.91,35693.91354,32124.91354
403,36413.91,33602.91354,30816.91354
404,33772.91,35565.91354,29814.91354
405,32795.91,36549.91354,33814.91354
406,33090.91,33903.91354,31417.91354
407,35003.91,34285.91354,32312.91354
408,35076.91,36720.91354,32754.91354
409,34907.91,35401.91354,32002.91354
410,33704.91,34298.91354,33197.91354
411,35342.91,33052.91354,31991.91354
412,34924.91,33673.91354,30697.91354
413,34138.91,34735.91354,32692.91354
414,32843.91,34476.91354,31179.91354
415,35020.91,33165.91354,30702.91354
416,31977.91,33441.91354,29469.91354
417,34601.91,35463.91354,32065.91354
418,35395.91,33523.91354,31477.91354
419,34413.91,35656.91354,31535.91354
420,34562.91,34144.91354,32061.91354
421,35278.91,34496.91354,31712.91354
422,35721.91,34479.91354,32036.91354
423,31606.91,33123.91354,31647.91354
424,33121.91,32578.91354,33721.91354
425,36260.91,36241.91354,33881.91354
426,36594.91,34488.91354,30763.91354
427,34291.91,33706.91354,30115.91354
428,33530.91,34476.91354,29274.91354
429,34015.91,35529.91354,34283.91354
430,35496.91,34980.91354,28796.91354
431,31421.91,37059.91354,32808.91354
432,35258.91,35015.91354,33233.91354
433,33444.91,35950.91354,30909.91354
434,35195.91,36802.91354,32209.91354
435,32141.91,35212.91354,31937.91354
436,36107.91,32244.91354,31729.91354
437,33841.91,30390.91354,31138.91354
438,34700.91,34151.91354,31956.91354
439,35548.91,34330.91354,31201.91354
440,32044.91,35150.91354,33209.91354
441,35370.91,36221.91354,29709.91354
442,34833.91,32712.91354,31481.91354
443,34169.91,35157.91354,32788.91354
444,35693.91,34708.91354,31790.91354
445,35237.91,33724.91354,31024.91354
446,33555.91,35397.91354,32328.91354
447,34933.91,32748.91354,30407.91354
448,36328.91,34361.91354,32106.91354
449,34018.91,34307.91354,30103.91354
450,33527.91,33295.91354,31917.91354
451,35981.91,33715.91354,32529.91354
452,35871.91,34330.91354,33676.91354
453,33321.91,32419.91354,31442.91354
454,32892.91,33285.91354,33732.91354
455,34266.91,34741.91354,29888.91354
456,33786.91,35706.91354,33869.91354
457,33114.91,32889.91354,33141.91354
458,34953.91,35794.91354,32129.91354
459,35453.91,35672.91354,33382.91354
460,35573.91,32487.91354,30567.91354
461,33662.91,35121.91354,32252.91354
462,33933.91,34778.91354,34079.91354
463,36245.91,31363.91354,32952.91354
464,34549.91,34699.91354,32732.91354
465,34213.91,34503.91354,32426.91354
466,33631.91,33872.91354,33508.91354
467,34611.91,34347.91354,32268.91354
468,34691.91,34121.91354,29685.91354
469,36180.91,35261.91354,32704.91354
470,33125.91,35377.91354,31548.91354
471,32921.91,33619.91354,30305.91354
472,37183.91,36003.91354,30858.91354
473,34719.91,32927.91354,33274.91354
474,35077.91,36309.91354,29877.91354
475,34322.91,33237.91354,30422.91354
476,33441.91,35009.91354,32454.91354
477,33150.91,34781.91354,31423.91354
478,34607.91,33731.91354,31333.91354
479,32335.91,33582.91354,33366.91354
480,30597.91,35033.91354,31409.91354
481,36951.91,34303.91354,31258.91354
482,34318.91,33558.91354,32275.91354
483,32898.91,34724.91354,32877.91354
484,33888.91,35833.91354,31902.91354
485,36014.91,36247.91354,32295.91354
486,35553.91,35228.91354,31387.91354
487,34753.91,31782.91354,32359.91354
488,35432.91,35009.91354,31305.91354
489,34533.91,34720.91354,33719.91354
490,34744.91,35818.91354,31464.91354
491,33293.91,31402.91354,32048.91354
492,36157.91,33375.91354,30998.91354
493,34888.91,33644.91354,30618.91354
494,36256.91,36174.91354,33667.91354
495,35571.91,34158.91354,31733.91354
496,33579.91,36559.91354,31196.91354
497,34675.91,30574.91354,33418.91354
498,32886.91,33700.91354,31982.91354
499,35535.91,36832.91354,32570.91354
500,32281.91,36392.91354,32884.91354
